GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT3G15450,184.4532769,-3.307012006,0.199934694,-16.54046095,1.88E-61,2.08E-58
AT5G57560,90.22958226,-3.619424341,0.266134934,-13.59995959,4.01E-42,1.94E-39
AT1G37130,102.8386169,-3.234264912,0.247854004,-13.04907268,6.43E-39,2.89E-36
AT2G41100,150.3014407,-3.418495573,0.262066945,-13.04435997,6.84E-39,3.01E-36
AT1G74670,63.90221898,-4.75155543,0.36490015,-13.02152228,9.23E-39,3.96E-36
AT5G49360,72.91714951,-4.588501307,0.357230215,-12.84466184,9.22E-38,3.70E-35
AT5G20250,48.3697597,-4.776948116,0.372257522,-12.83237498,1.08E-37,4.25E-35
AT1G03870,50.04668002,-5.086994744,0.40591877,-12.53205103,4.99E-36,1.81E-33
AT4G35770,86.21069474,-4.210442016,0.336802726,-12.50121122,7.35E-36,2.62E-33
AT3G16240,229.3034658,-2.508643705,0.204350672,-12.2761706,1.22E-34,3.89E-32
AT3G30775,52.55700183,-3.388302247,0.277502407,-12.20999226,2.75E-34,8.52E-32
AT4G08950,47.71797448,-5.175146591,0.429664733,-12.04461572,2.07E-33,6.21E-31
AT2G38310,42.88673456,-5.201432834,0.438772137,-11.85451945,2.04E-32,5.67E-30
AT4G27450,49.88021529,-5.528111357,0.470514416,-11.74907967,7.14E-32,1.96E-29
AT4G36850,40.56445032,-5.666935735,0.492517403,-11.50606193,1.23E-30,3.18E-28
AT5G19120,41.5125766,-5.068641774,0.446079572,-11.36264041,6.42E-30,1.62E-27
AT2G19800,39.84776929,-4.624157811,0.409832148,-11.28305292,1.59E-29,3.90E-27
AT3G48360,37.6430457,-4.615755497,0.415155714,-11.11813072,1.02E-28,2.45E-26
AT1G77760,54.08067668,-3.494733891,0.315254004,-11.08545443,1.48E-28,3.44E-26
AT2G45180,322.7772938,-3.270047046,0.295661194,-11.06011581,1.96E-28,4.51E-26
AT4G16980,204.7911011,-2.008831666,0.182051936,-11.0343878,2.61E-28,5.87E-26
AT5G44020,101.5224495,-4.208349218,0.382460556,-11.00335485,3.68E-28,8.09E-26
AT1G72430,42.67782467,-5.268909154,0.484295392,-10.879536,1.44E-27,3.10E-25
AT5G19190,43.53128349,-4.107284892,0.377644129,-10.87607242,1.50E-27,3.18E-25
AT2G46330,91.74317897,-2.535635541,0.233922778,-10.83962648,2.23E-27,4.69E-25
AT5G25460,94.44787179,-3.146800302,0.291158479,-10.80786075,3.16E-27,6.56E-25
AT1G75750,80.35373316,-2.647921403,0.250025954,-10.59058614,3.30E-26,6.04E-24
AT2G10940,360.9516671,-2.357874067,0.228212275,-10.33193357,5.05E-25,8.84E-23
AT5G14120,34.83730169,-3.776063452,0.366570272,-10.30106296,6.97E-25,1.21E-22
AT1G80180,79.70783284,-2.741051717,0.266613782,-10.28098282,8.58E-25,1.47E-22
AT4G30270,68.71112473,-2.942805692,0.294177277,-10.00351124,1.47E-23,2.34E-21
AT1G19770,53.1328641,-2.820714084,0.285538541,-9.878575658,5.16E-23,7.99E-21
AT1G08930,45.13986711,-3.315241787,0.336653847,-9.847627799,7.02E-23,1.05E-20
AT2G20670,45.47606826,-3.825026886,0.390590628,-9.792930521,1.21E-22,1.77E-20
AT5G48490,34.63624802,-3.80954327,0.390074206,-9.766201443,1.57E-22,2.29E-20
AT2G06850,179.4339354,-2.915974881,0.299036913,-9.751220506,1.82E-22,2.63E-20
AT1G68840,28.3048738,-4.920740285,0.505997128,-9.724838363,2.36E-22,3.38E-20
AT5G22920,33.92609131,-3.311613501,0.344067673,-9.624889991,6.28E-22,8.60E-20
AT5G15350,46.54549629,-2.853200251,0.297130541,-9.602514242,7.80E-22,1.06E-19
AT3G01290,50.3606258,-3.073660539,0.322013477,-9.545130129,1.36E-21,1.81E-19
AT4G25050,269.7575391,-1.572284463,0.166384302,-9.4497164,3.40E-21,4.28E-19
AT5G23060,180.3340049,-1.451926678,0.154654165,-9.388215825,6.10E-21,7.44E-19
AT4G38470,36.70828048,-2.678644836,0.288010448,-9.30051271,1.40E-20,1.64E-18
AT3G16770,104.3674342,-2.112834537,0.227340432,-9.293703354,1.49E-20,1.73E-18
AT1G65930,208.286086,-1.31833171,0.142045599,-9.281045831,1.68E-20,1.93E-18
AT4G17870,50.79857897,-2.564900488,0.277563345,-9.240775242,2.45E-20,2.77E-18
AT2G40000,87.50365699,-2.85355867,0.310347065,-9.19473386,3.76E-20,4.20E-18
AT1G66200,112.4884962,-2.245738798,0.245216832,-9.158175563,5.28E-20,5.80E-18
AT3G45640,63.94001633,-2.172256114,0.237959185,-9.128692034,6.93E-20,7.53E-18
AT5G14740,645.1717406,-2.054784751,0.225264291,-9.12166212,7.40E-20,7.94E-18
AT2G16060,22.6937231,-4.663702048,0.514654847,-9.061805355,1.28E-19,1.37E-17
AT5G67420,36.10040204,-2.72005517,0.300898003,-9.039791358,1.57E-19,1.66E-17
AT4G13340,29.32172607,-3.576007461,0.401809498,-8.899758407,5.60E-19,5.78E-17
AT3G23030,92.7423893,-1.867773668,0.211417757,-8.834516524,1.01E-18,1.02E-16
AT4G12470,56.9486167,-2.926225997,0.33169068,-8.822153219,1.12E-18,1.12E-16
AT4G12480,55.98024224,-2.84929755,0.322964728,-8.822318045,1.12E-18,1.12E-16
AT4G33560,21.89528378,-4.262677928,0.485939996,-8.772025285,1.75E-18,1.75E-16
AT5G65660,75.97856762,-1.860563627,0.213640348,-8.708858814,3.07E-18,3.04E-16
AT3G06750,37.52624252,-2.45864635,0.282616819,-8.699575476,3.33E-18,3.28E-16
AT1G11260,37.7604543,-3.056211933,0.353419883,-8.647538172,5.26E-18,5.07E-16
AT3G49940,24.50841671,-3.239751508,0.375161982,-8.635607177,5.84E-18,5.60E-16
AT3G29240,77.50656154,-1.882061738,0.218790604,-8.602114108,7.83E-18,7.47E-16
AT5G44580,101.1936223,-1.883308565,0.22027627,-8.549756911,1.23E-17,1.16E-15
AT1G57990,25.87953904,-3.586361855,0.419941764,-8.540140953,1.34E-17,1.25E-15
AT4G35750,94.58521724,-1.705722868,0.200862788,-8.491980437,2.03E-17,1.86E-15
AT4G34150,75.41352767,-2.361654825,0.278324235,-8.485264772,2.15E-17,1.96E-15
AT5G65010,47.2861097,-2.038122429,0.240552319,-8.472678379,2.40E-17,2.18E-15
AT3G26510,38.90264265,-2.53588814,0.303062671,-8.367537089,5.88E-17,5.08E-15
AT5G57660,87.33064897,-1.737267466,0.208863755,-8.317706754,8.97E-17,7.60E-15
AT2G46220,91.78633389,-1.80629468,0.218059522,-8.283493725,1.20E-16,1.01E-14
AT3G52720,23.25461333,-3.498464614,0.426810549,-8.196762301,2.47E-16,2.03E-14
AT1G80440,21.17773071,-4.486078982,0.55226958,-8.122987665,4.55E-16,3.67E-14
AT5G48485,44.24479501,-2.158508281,0.267885238,-8.057585765,7.78E-16,6.18E-14
AT3G54500,53.10614693,-2.299454427,0.286564453,-8.024213769,1.02E-15,8.04E-14
AT4G35100,242.4775234,-1.091684784,0.136141742,-8.018736732,1.07E-15,8.34E-14
AT5G28770,17.38831798,-4.280084374,0.537355286,-7.965092152,1.65E-15,1.28E-13
AT4G30170,24.80177706,-2.880939651,0.361861079,-7.961452104,1.70E-15,1.31E-13
AT1G78460,52.00950383,-2.200498451,0.277161182,-7.939417905,2.03E-15,1.54E-13
AT1G62380,438.8229754,-2.411884011,0.305022112,-7.907243175,2.63E-15,1.95E-13
AT5G07440,93.95811617,-1.445422146,0.183204362,-7.889671026,3.03E-15,2.22E-13
AT5G21170,26.86522996,-2.69273137,0.342505373,-7.861866074,3.78E-15,2.73E-13
AT3G14420,536.8456516,-1.114904439,0.142229572,-7.838766746,4.55E-15,3.23E-13
AT2G30520,44.79199383,-2.28687504,0.29223327,-7.825512281,5.06E-15,3.55E-13
AT5G56870,16.63494513,-4.536719855,0.581776176,-7.798050246,6.29E-15,4.37E-13
AT4G23400,37.76687903,-2.513566122,0.322417319,-7.796002183,6.39E-15,4.42E-13
AT1G04040,63.08658442,-2.579928167,0.332224197,-7.765623904,8.12E-15,5.58E-13
AT5G05440,17.29499883,-4.917749192,0.634711129,-7.748011607,9.33E-15,6.39E-13
AT2G39570,40.35484407,-1.998761579,0.258618311,-7.728615859,1.09E-14,7.28E-13
AT1G19380,17.93300402,-4.336557618,0.564758539,-7.678604783,1.61E-14,1.06E-12
AT4G17460,15.9780368,-3.978155164,0.519534211,-7.65715728,1.90E-14,1.22E-12
AT1G19530,25.52976705,-3.124838584,0.408786206,-7.644187928,2.10E-14,1.34E-12
AT2G01850,69.15493575,-1.587195416,0.20806036,-7.628533457,2.37E-14,1.50E-12
AT3G06070,20.08168542,-3.311494208,0.436656964,-7.583743038,3.36E-14,2.08E-12
AT1G43800,19.24346284,-5.659462282,0.749485155,-7.551133263,4.31E-14,2.64E-12
AT5G21940,48.50608316,-2.515447185,0.333189564,-7.549597762,4.37E-14,2.66E-12
AT3G55980,34.15131948,-3.4608961,0.461440871,-7.500194103,6.37E-14,3.82E-12
AT5G19240,83.04913512,-2.413589202,0.323289471,-7.46572164,8.28E-14,4.94E-12
AT2G45170,38.25488452,-2.061392987,0.276900139,-7.444535767,9.73E-14,5.76E-12
AT1G23390,40.13007756,-2.405406384,0.323438483,-7.436982647,1.03E-13,6.06E-12
AT4G32480,16.46868104,-3.967715764,0.533568461,-7.436188702,1.04E-13,6.08E-12
AT3G02550,14.61880816,-4.322806769,0.582028281,-7.427142134,1.11E-13,6.49E-12
AT3G22060,37.8401282,-2.6213019,0.354113399,-7.402436363,1.34E-13,7.73E-12
AT1G55450,41.916063,-2.396793871,0.325989419,-7.352367067,1.95E-13,1.11E-11
AT1G10960,460.1425229,-1.517325401,0.206607553,-7.343997725,2.07E-13,1.18E-11
AT1G66180,45.37446306,-1.857487117,0.25368943,-7.321894021,2.44E-13,1.38E-11
AT5G40850,28.20391399,-2.256743247,0.308333448,-7.319164562,2.50E-13,1.40E-11
AT4G02380,292.4429414,-1.570073816,0.214543187,-7.318218005,2.51E-13,1.40E-11
AT5G65430,58.23022871,-1.860766178,0.25440731,-7.314122304,2.59E-13,1.44E-11
AT2G23810,47.94652797,-2.039227486,0.278805035,-7.31417024,2.59E-13,1.44E-11
AT5G61590,54.08335939,-2.760885365,0.378794573,-7.288608555,3.13E-13,1.73E-11
AT4G12420,41.35028592,-1.87205292,0.256983337,-7.284724937,3.22E-13,1.77E-11
AT3G15850,80.20647142,-1.403607765,0.193911512,-7.238393182,4.54E-13,2.46E-11
AT1G70410,74.6529236,-1.576660771,0.218039117,-7.231091358,4.79E-13,2.58E-11
AT5G54940,204.0895691,-1.046600236,0.145026143,-7.216631524,5.33E-13,2.84E-11
AT1G55960,24.90012842,-2.638164448,0.36681043,-7.192174024,6.38E-13,3.38E-11
AT3G61440,254.1700952,-1.102708719,0.153658705,-7.176350484,7.16E-13,3.76E-11
AT3G17390,215.0037858,-1.565948208,0.218353545,-7.171617984,7.41E-13,3.88E-11
AT1G75500,48.59711003,-1.824879615,0.254951884,-7.157741252,8.20E-13,4.25E-11
AT1G72930,44.82667811,-1.915202577,0.267698447,-7.154328303,8.41E-13,4.34E-11
AT3G05490,34.66635147,-2.194769777,0.308001212,-7.125847867,1.03E-12,5.27E-11
AT2G38470,60.94109962,-2.135699834,0.299784355,-7.124120383,1.05E-12,5.32E-11
AT1G09070,90.74369841,-1.865861665,0.262473304,-7.108767394,1.17E-12,5.88E-11
AT3G47340,34.3236025,-2.739559034,0.388473509,-7.052112879,1.76E-12,8.72E-11
AT5G13710,50.67423566,-1.734033946,0.246103613,-7.045950777,1.84E-12,9.06E-11
AT3G10720,21.52053928,-3.491457668,0.496925328,-7.026121371,2.12E-12,1.04E-10
AT4G15545,152.4186192,-1.146429847,0.163602414,-7.007413988,2.43E-12,1.18E-10
AT3G15630,35.18078796,-2.461785441,0.352619891,-6.981413999,2.92E-12,1.42E-10
AT1G69530,76.98143441,-1.855569494,0.267370629,-6.940064803,3.92E-12,1.87E-10
AT1G65490,17.37425617,-4.347921159,0.63119442,-6.888402403,5.64E-12,2.67E-10
AT3G14415,371.5169496,-1.128806811,0.164615117,-6.857248783,7.02E-12,3.31E-10
AT4G19420,22.68220562,-2.528067184,0.369043461,-6.850323739,7.37E-12,3.46E-10
AT5G03380,35.28499087,-2.488507685,0.363910166,-6.838247241,8.02E-12,3.76E-10
AT1G15125,13.37412852,-4.589211598,0.671374038,-6.835551177,8.17E-12,3.80E-10
