GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AT1G01470,1112.094871,4.069694101,0.158676461,25.64774944,4.48E-145,8.46E-141
AT2G15970,1727.773752,4.00674274,0.161769019,24.76829467,1.97E-135,1.86E-131
AT5G15970,2041.923444,5.009082227,0.210727229,23.77045556,6.75E-125,4.25E-121
AT2G42540,3293.986126,9.550571037,0.412947407,23.1278145,2.43E-118,1.15E-114
AT1G13930,1611.317637,3.367047615,0.148860753,22.61877317,2.83E-113,1.07E-109
AT5G52310,1265.106378,7.619369257,0.344192534,22.13693937,1.39E-108,4.39E-105
AT5G15960,2209.761063,5.997965421,0.282959553,21.19725369,1.01E-99,2.73E-96
AT5G25610,832.2872698,3.972065358,0.194500509,20.42187642,1.07E-92,2.52E-89
AT2G39800,711.5711223,5.496127844,0.281518556,19.52314591,6.98E-85,1.47E-81
AT5G24770,827.3108034,6.419109309,0.339752164,18.89350527,1.29E-79,2.44E-76
AT4G23600,349.2549033,6.039531004,0.339866115,17.77032406,1.20E-70,2.06E-67
AT1G62570,326.5161418,5.098959098,0.28734649,17.74498481,1.88E-70,2.97E-67
AT5G66400,1554.915304,7.294744973,0.413625558,17.63610792,1.30E-69,1.89E-66
AT2G33380,783.6942922,7.690790016,0.442406344,17.38399579,1.09E-67,1.47E-64
AT4G27520,745.9523886,2.752310391,0.159470846,17.25901919,9.57E-67,1.21E-63
AT3G50970,1143.31144,4.505304582,0.26912464,16.7405875,6.63E-63,7.83E-60
AT5G61820,244.6329074,3.099261613,0.187616875,16.51909836,2.67E-61,2.81E-58
AT3G11410,213.439268,3.963777909,0.251687167,15.74882801,7.00E-56,6.96E-53
AT4G24960,201.0438415,3.74370896,0.240362012,15.57529382,1.07E-54,1.01E-51
AT1G29395,366.7652533,5.961583179,0.385073209,15.48168772,4.61E-54,4.15E-51
AT2G42530,1684.03835,10.43246484,0.680766749,15.32458048,5.24E-53,4.50E-50
AT1G52690,853.0944714,7.446094204,0.48902922,15.22627668,2.37E-52,1.94E-49
AT4G30650,514.6579298,5.488178333,0.362940205,15.12143944,1.17E-51,9.21E-49
AT4G11600,278.4568613,2.43794271,0.162172867,15.03298765,4.46E-51,3.37E-48
AT1G73390,166.0414492,4.144785091,0.277114631,14.95693345,1.40E-50,1.02E-47
