Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_DIRECT,GO:0009414~response to water deprivation,92,4.02978537,9.18E-28,"AT1G20450, AT5G59320, AT1G52400, AT5G59220, AT3G23920, AT4G04330, AT5G15960, AT3G52450, AT3G05640, AT5G10230, AT4G02280, AT1G52890, AT4G00430, AT1G45249, AT4G02200, AT5G26340, AT5G63980, AT5G13750, AT5G52310, AT2G37770, AT3G16857, AT1G33240, AT4G25480, AT2G38750, AT1G43160, AT5G45340, AT4G11890, AT3G23050, AT3G18490, AT3G50970, AT4G02380, AT5G07690, AT3G29320, AT4G24275, AT2G37180, AT3G11020, AT2G47190, AT5G15970, AT2G35930, AT2G47800, AT5G40390, AT5G57050, AT2G35300, AT1G13740, AT2G38760, AT3G30775, AT5G05410, AT1G46768, AT3G26830, AT2G47180, AT1G08930, AT1G56600, AT2G17840, AT3G45140, AT3G61890, AT2G21660, AT2G41430, AT5G61590, AT3G11410, AT3G47860, AT4G27410, AT2G38470, AT5G24030, AT4G24960, AT3G02480, AT5G58670, AT3G46970, AT5G37500, AT2G36270, AT2G39800, AT4G38410, AT1G20440, AT4G34000, AT1G02205, AT5G66400, AT3G63060, AT1G02930, AT5G50720, AT1G22190, AT2G42540, AT1G73330, AT4G23450, AT5G59310, AT5G06760, AT2G46680, AT5G65730, AT5G52300, AT4G20260, AT3G14440, AT1G69600, AT1G54160, AT2G41010",1731,279,18499,3.523991146,1.14E-24,1.14E-24,1.49E-24
GOTERM_BP_DIRECT,GO:0009737~response to abscisic acid,111,4.862023653,8.24E-27,"AT1G20450, AT1G52400, AT5G15960, AT3G09600, AT2G46270, AT1G45249, AT5G26340, AT1G18100, AT4G39260, AT1G43160, AT4G05100, AT3G50970, AT2G33380, AT3G18490, AT3G57530, AT5G15970, AT1G61340, AT5G40390, AT3G30210, AT3G22060, AT1G58340, AT5G44610, AT2G15970, AT3G26830, AT5G37770, AT4G23600, AT2G19450, AT3G11820, AT2G17840, AT1G17840, AT3G61890, AT1G65690, AT3G05890, AT1G71030, AT4G26080, AT3G47860, AT3G11410, AT5G37500, AT4G31910, AT2G36270, AT2G39800, AT4G38410, AT1G20440, AT5G66400, AT3G63060, AT4G01060, AT1G01060, AT2G32240, AT5G50720, AT1G73330, AT5G59310, AT2G46680, AT2G40170, AT2G35940, AT3G05880, AT4G21440, AT4G28110, AT1G73687, AT5G59320, AT5G59220, AT1G47510, AT3G58490, AT5G64750, AT5G52310, AT2G38750, AT4G11890, AT3G59220, AT4G02380, AT1G12420, AT2G26980, AT1G48000, AT3G48360, AT1G54100, AT2G47190, AT4G34390, AT1G75750, AT1G29395, AT1G55020, AT5G16600, AT5G57050, AT4G22200, AT1G13740, AT1G22640, AT1G49720, AT1G68670, AT5G52660, AT2G47180, AT1G08930, AT5G02840, AT1G56600, AT2G42530, AT1G76180, AT1G75240, AT4G34990, AT3G22231, AT4G21410, AT4G04020, AT2G47770, AT4G27410, AT4G24960, AT5G58670, AT4G34000, AT4G34710, AT2G42540, AT4G23450, AT5G53160, AT4G12480, AT4G37260, AT5G52300, AT5G25610, AT2G40340",1731,394,18499,3.010772506,1.02E-23,5.11E-24,1.34E-23
GOTERM_BP_DIRECT,GO:0009611~response to wounding,72,3.153745072,1.50E-24,"AT5G47240, AT2G28900, AT1G72300, AT1G18150, AT3G48520, AT4G35770, AT4G39980, AT2G34600, AT5G52310, AT1G43160, AT1G76650, AT4G08170, AT4G37760, AT3G23050, AT1G51760, AT5G67480, AT4G10270, AT4G02380, AT4G16740, AT5G07690, AT1G05200, AT3G48360, AT3G44550, AT1G80840, AT1G61340, AT2G47800, AT1G66760, AT1G55020, AT4G15440, AT3G16470, AT3G29035, AT5G24770, AT1G52030, AT3G53260, AT1G22640, AT5G13930, AT2G24850, AT1G01470, AT2G02990, AT3G11480, AT1G32920, AT4G23600, AT2G20340, AT4G10390, AT3G45140, AT1G17840, AT1G61120, AT3G45640, AT1G04220, AT2G37040, AT5G04230, AT3G24550, AT5G20900, AT3G51450, AT5G10300, AT4G16760, AT3G44260, AT1G17420, AT5G63450, AT2G34810, AT1G19640, AT4G34710, AT1G17380, AT4G24350, AT2G46370, AT1G65060, AT3G61060, AT5G42650, AT4G10265, AT1G70700, AT4G21440, AT4G22880",1731,199,18499,3.86661209,1.86E-21,6.20E-22,2.44E-21
GOTERM_BP_DIRECT,GO:0009753~response to jasmonic acid,60,2.628120894,4.21E-22,"AT1G15520, AT1G54040, AT2G28900, AT1G47510, AT4G26850, AT3G09600, AT1G18150, AT4G35770, AT5G24780, AT2G34600, AT1G43160, AT5G60890, AT1G44350, AT4G37760, AT3G23050, AT4G05100, AT5G67480, AT1G66380, AT4G16740, AT5G07690, AT3G48360, AT5G07010, AT3G56400, AT1G61340, AT1G55020, AT1G19570, AT3G16470, AT3G28910, AT5G24770, AT1G56650, AT4G09460, AT2G24850, AT5G13930, AT5G52660, AT4G23600, AT5G02840, AT3G45140, AT4G34990, AT1G61120, AT1G71030, AT3G51450, AT5G37500, AT3G16770, AT2G39030, AT1G17420, AT3G15510, AT2G34810, AT4G01060, AT1G01060, AT3G50480, AT1G21910, AT4G34710, AT1G17380, AT1G06160, AT2G46370, AT4G37260, AT1G18710, AT5G42650, AT1G70700, AT4G22880",1731,156,18499,4.110340843,5.22E-19,1.31E-19,6.84E-19
GOTERM_BP_DIRECT,GO:0080167~response to karrikin,47,2.0586947,1.50E-16,"AT5G17050, AT3G09440, AT2G46170, AT3G43800, AT3G22840, AT2G23910, AT1G74670, AT5G64410, AT4G37370, AT3G61220, AT5G66920, AT1G22770, AT1G23010, AT1G31350, AT5G13750, AT5G05600, AT2G37040, AT5G06980, AT5G62210, AT4G37470, AT2G40080, AT3G44450, AT4G24110, AT5G20250, AT3G52740, AT1G70420, AT4G27280, AT4G35110, AT4G34710, AT1G61890, AT2G16660, AT1G30530, AT5G25460, AT3G21560, AT5G05270, AT1G25275, AT2G47930, AT5G51550, AT5G02270, AT1G66390, AT5G42900, AT1G05680, AT3G53260, AT3G55120, AT1G61800, AT5G08640, AT1G10370",1731,128,18499,3.924091024,1.38E-13,2.75E-14,1.78E-13
GOTERM_BP_DIRECT,GO:0009651~response to salt stress,100,4.380201489,4.49E-14,"AT1G52400, AT1G66280, AT3G09600, AT1G45249, AT5G26340, AT5G63980, AT4G39260, AT1G43160, AT1G66200, AT4G05100, AT2G47460, AT2G33380, AT3G57530, AT5G23860, AT3G03250, AT1G61340, AT3G05030, AT4G37530, AT3G03640, AT5G44610, AT2G19450, AT4G01070, AT2G17840, AT1G17840, AT1G13930, AT3G61890, AT3G05890, AT1G71030, AT4G02520, AT2G36270, AT2G39800, AT1G55450, AT4G01060, AT3G63060, AT1G01060, AT1G01520, AT5G20270, AT5G59310, AT4G40010, AT1G16850, AT4G21440, AT1G35910, AT1G10370, AT1G15100, AT1G47510, AT4G04330, AT5G10230, AT1G50960, AT1G28380, AT2G37770, AT5G52310, AT3G49580, AT2G38750, AT4G11890, AT5G67480, AT2G16720, AT1G48000, AT2G04240, AT3G48360, AT1G54100, AT3G44550, AT2G47190, AT2G20880, AT3G03780, AT5G07440, AT5G54810, AT3G16470, AT5G28510, AT1G56650, AT5G27150, AT2G38760, AT1G27760, AT5G18170, AT1G22640, AT5G52660, AT2G47180, AT1G08930, AT5G02840, AT1G56600, AT1G14210, AT5G62520, AT4G34990, AT2G21660, AT4G11600, AT5G50950, AT2G47770, AT2G38470, AT5G24030, AT5G58670, AT5G46830, AT4G34000, AT1G02930, AT4G34710, AT2G42540, AT2G41560, AT4G12480, AT5G52300, AT1G18710, AT5G25610, AT2G41010",1731,484,18499,2.208034337,5.56E-11,9.27E-12,7.28E-11
GOTERM_BP_DIRECT,GO:0009409~response to cold,68,2.978537013,9.07E-12,"AT1G20450, AT2G28900, AT4G04330, AT5G15960, AT5G10230, AT3G22840, AT1G01120, AT1G22770, AT5G63980, AT5G52310, AT2G37770, AT4G39260, AT4G25480, AT2G38750, AT1G43160, AT4G11890, AT2G33380, AT3G50970, AT4G02380, AT5G20250, AT3G48360, AT5G57560, AT5G15970, AT1G07720, AT3G22370, AT4G34150, AT3G16470, AT2G38760, AT3G25770, AT5G42900, AT4G02330, AT1G46768, AT5G44610, AT5G37770, AT2G47180, AT2G19450, AT2G42530, AT1G56600, AT4G17090, AT2G17840, AT1G76180, AT5G04530, AT3G05890, AT3G45640, AT2G21660, AT4G04020, AT4G02520, AT4G26080, AT3G11410, AT2G38470, AT4G24960, AT5G58670, AT4G37610, AT5G37500, AT5G51820, AT1G20440, AT1G01060, AT5G50720, AT4G34710, AT1G22190, AT2G42540, AT1G80820, AT5G06760, AT4G12480, AT5G52300, AT4G20260, AT3G05880, AT1G09350",1731,299,18499,2.430462412,1.12E-08,1.61E-09,1.47E-08
GOTERM_BP_DIRECT,GO:0009873~ethylene-activated signaling pathway,47,2.0586947,1.43E-10,"AT2G35700, AT4G17500, AT5G51190, AT5G25350, AT5G25190, AT5G47220, AT1G68840, AT2G22200, AT5G64750, AT5G60120, AT5G67180, AT1G77640, AT3G23150, AT5G61600, AT1G43160, AT2G23340, AT5G61590, AT1G72360, AT4G28140, AT3G16770, AT1G25560, AT4G34410, AT5G52020, AT1G01250, AT2G20880, AT2G47520, AT5G07580, AT5G11590, AT1G21910, AT1G44830, AT1G22190, AT1G64380, AT2G44940, AT2G28550, AT1G06160, AT2G27050, AT1G13260, AT5G25390, AT1G36060, AT1G28370, AT4G06746, AT3G54990, AT4G17490, AT1G79700, AT4G16750, AT2G39250, AT1G46768",1731,179,18499,2.806053917,1.77E-07,2.21E-08,2.32E-07
GOTERM_BP_DIRECT,GO:0010200~response to chitin,39,1.708278581,2.08E-10,"AT3G50060, AT1G75490, AT4G17500, AT5G51190, AT3G52450, AT1G66160, AT1G08930, AT5G47220, AT4G29110, AT4G31800, AT5G04340, AT3G46090, AT3G05200, AT2G21210, AT2G34600, AT4G17245, AT3G45640, AT2G38470, AT1G23030, AT3G46600, AT2G23320, AT4G28140, AT4G37610, AT3G55980, AT2G04240, AT4G34410, AT4G26400, AT2G36270, AT1G80840, AT3G16720, AT3G56400, AT2G35930, AT4G01250, AT1G64380, AT4G37260, AT5G22890, AT4G28110, AT4G17490, AT3G49530",1731,133,18499,3.133748583,2.58E-07,2.86E-08,3.37E-07
GOTERM_BP_DIRECT,GO:0010411~xyloglucan metabolic process,20,0.876040298,1.38E-09,"AT2G36870, AT2G01850, AT4G30280, AT4G28850, AT5G57560, AT2G06850, AT3G23730, AT4G03210, AT3G62720, AT1G11545, AT4G30270, AT5G57530, AT5G48070, AT4G25820, AT4G25810, AT5G65730, AT4G14130, AT1G32170, AT1G65310, AT4G30290",1731,42,18499,5.088993425,1.71E-06,1.71E-07,2.24E-06
