"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009415","GO:0009415","response to water","205/3294","426/20876",2.44556324642781e-56,3.84197986013809e-53,2.76477360701417e-53,"LEA14/KIN1/COR15/ATCOR413-PM1/ATDI8/ATRD22/AtCor6.6/COR78/ANN1/ATP5CS/LTI30/LHCB2/AtCLO3/LTP3/COR413-TM1/AHG3/NA/COR15B/ALDH7B4/ABI1/AtLEA4-5/ERD10/ATHVA22D/RD2/ATCOL5/AtCOR47/ERD7/ATHB-7/AT-POX/RD21/CER1/ATPHS2/ABF2/UBC32/AFP1/RD19/ANAC072/ATHB-12/ATPIP1/ERD6/ATGRP7/ADC2/ATLOX2/HAI1/NA/AtRbcX1/AtBAM1/LTP4/PIP1;4/cdf3/LTI65/GBF3/ATCML9/ABI2/NA/HIS1-3/ASUS1/NA/NA/NA/AtCRL1/IMS3/RS5/ABF3/AtGolS2/ATSUS3/ATDI21/NA/AtPGR5/ATNCED3/ATMGL/DALL3/AtPIP2;1/RAP2.6/ATWRKY33/ATSTP13/ATCIPK6/PHS1/ERD14/NA/ANAC019/SNRK2-2/AtMYB74/ATCYS1/AtLEA4-2/DREB2/XTH6/ATGST1/ATCDSP32/AKR4C8/AT-GTL1/PIP2;2/AKR4C9/ATERF-1/COR314-TM2/ATCYS6/ATGRP-3/ATBI-1/ATDR4/NA/NA/NA/AXR2/NA/NA/NA/AtNPF6.3/ATCAMBP25/CYP76C2/ATCSP2/GLYI7/ATCPK32/NA/ATCRY1/ATPAL1/NF-YA5/ZIFL1/ATHVA22E/AtPUB23/ATMDAR3/JAZ7/UGT74E2/ATM4/ANAC002/ATSYP122/ATHVA22A/CYP71B15/NA/ATCBF3/ABI5/AT-SYR1/ABCC4/NA/RAP2.1/NA/ABF4/EDL3/AAP4/ATOST1/Rap2.6L/ESL1/ATMYB96/AtMYB60/NA/ATBG1/ARCK1/AIRP1/AtPUB22/ATHVA22C/TAT/GORK/ANAC013/NA/JAZ2/AtERF53/ATMYB2/RGLG1/AERD2/AtGRP4/AtPNC2/ANAC092/JAS1/ATMSRB3/AZF2/XERO1/CYP94C1/ANAC091/DREB2/AFP2/NA/NA/ABCG22/NA/PBP1/ATXDH1/ATPLC/NA/5PTASE2/AAP6/ATERF11/ATATG18H/JAZ5/TBL17/ANAC053/ATWRKY57/ATMYB29/OCP3/ANN7/CYP707A3/ATL31/ARP1/ABCG40/LEA/PDLZ2/ABA3/ATERF#011/GES/DGD2/ATERF13/ATRH25/CRK36/AKT1/AtRPK1/ATOCT6/AtTYDC",205
"GO:0009414","GO:0009414","response to water deprivation","202/3294","418/20876",6.758789345101e-56,5.30902903057683e-53,3.82049460875709e-53,"LEA14/KIN1/COR15/ATCOR413-PM1/ATDI8/ATRD22/AtCor6.6/COR78/ANN1/ATP5CS/LTI30/LHCB2/AtCLO3/LTP3/COR413-TM1/AHG3/NA/COR15B/ALDH7B4/ABI1/AtLEA4-5/ERD10/ATHVA22D/RD2/ATCOL5/AtCOR47/ERD7/ATHB-7/AT-POX/RD21/CER1/ATPHS2/ABF2/UBC32/AFP1/RD19/ANAC072/ATHB-12/ATPIP1/ERD6/ATGRP7/ADC2/ATLOX2/HAI1/NA/AtRbcX1/AtBAM1/LTP4/PIP1;4/cdf3/LTI65/GBF3/ATCML9/ABI2/NA/HIS1-3/ASUS1/NA/NA/NA/AtCRL1/IMS3/RS5/ABF3/AtGolS2/ATSUS3/ATDI21/NA/AtPGR5/ATNCED3/ATMGL/DALL3/AtPIP2;1/RAP2.6/ATWRKY33/ATSTP13/ATCIPK6/PHS1/ERD14/NA/ANAC019/SNRK2-2/AtMYB74/ATCYS1/AtLEA4-2/DREB2/XTH6/ATGST1/ATCDSP32/AKR4C8/AT-GTL1/PIP2;2/AKR4C9/ATERF-1/COR314-TM2/ATCYS6/ATGRP-3/ATBI-1/ATDR4/NA/NA/NA/AXR2/NA/NA/NA/AtNPF6.3/ATCAMBP25/CYP76C2/ATCSP2/GLYI7/ATCPK32/NA/ATCRY1/ATPAL1/NF-YA5/ZIFL1/ATHVA22E/AtPUB23/ATMDAR3/JAZ7/UGT74E2/ATM4/ANAC002/ATSYP122/ATHVA22A/CYP71B15/NA/ATCBF3/ABI5/AT-SYR1/ABCC4/NA/RAP2.1/NA/ABF4/EDL3/AAP4/ATOST1/Rap2.6L/ESL1/ATMYB96/AtMYB60/NA/ATBG1/ARCK1/AIRP1/AtPUB22/ATHVA22C/TAT/GORK/ANAC013/NA/JAZ2/AtERF53/ATMYB2/RGLG1/AERD2/AtGRP4/AtPNC2/ANAC092/JAS1/ATMSRB3/AZF2/CYP94C1/ANAC091/DREB2/AFP2/NA/NA/ABCG22/PBP1/ATXDH1/ATPLC/NA/5PTASE2/AAP6/ATERF11/ATATG18H/JAZ5/TBL17/ANAC053/ATWRKY57/ATMYB29/OCP3/ANN7/CYP707A3/ATL31/ARP1/ABCG40/PDLZ2/ABA3/ATERF#011/GES/DGD2/ATERF13/ATRH25/CRK36/AKT1/AtRPK1/ATOCT6/AtTYDC",202
"GO:0009753","GO:0009753","response to jasmonic acid","192/3294","474/20876",3.61138933288739e-39,1.8911642139887e-36,1.36092355913019e-36,"COR15/ATVSP2/CORI3/ABI1/ATVSP1/ATSEN1/AFP1/ATDHAR1/ANAC072/ATEBP/ADC2/ATLOX2/HAI1/RCA/ATOEP16-1/ATBT2/CIR1/GBF3/ATMYBL2/BBX14/JAZ6/ATCHS/ANS/ACX1/ATMAPK3/ATBT4/DALL3/JAZ9/ATLFNR2/RAP2.6/ATWRKY33/NA/BETA/NA/ANAC019/AtCCA1/AtWAK1/AtMYB74/AtTCP11/NA/ATPD/ATPGIP2/NA/ATMYB75/ChiC/CML38/JAZ12/ATBI-1/DREB26/AXR2/NATA1/ATWRKY40/NA/NA/AR781/ACO4/LHY/NA/NA/NA/BGLU26/ATERF-2/AT103-1A/BBX22/ATCPK32/NA/CPL3/AtPUB23/LCL5/ATMDAR3/JAZ7/ATM4/ATMYB59/ANAC002/ATSYP122/CYP71B15/LCL1/SS2/NA/AT-SYR1/ATMYB30/RGA/LURP1/BASS5/ATMYB73/NA/OPCL1/ATMYB94/AtPIF4/AtMYB47/CAD1/AtIQM1/Rap2.6L/AtSOT1/ATLOX4/ATBCB/MSL3/AtMYB60/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/ACS6/NA/ATTRP2/ATMYB13/ARA8/GATL2/AIF1/TAT/GORK/ATWRKY53/TGA3/anac081/JAZ2/OBP2/ATMYB3/ATMYB2/AtRLP33/AtRLP19/NA/AtHNL/AtPNC2/ANAC092/ESP/NF-YA4/ATCBL2/ATTPS03/JAS1/AZF2/RHF1A/CYP94C1/ATMYB7/ATWRKY54/AS1/ATST2A/NA/ORA59/RLK1/ADL1E/AtERDL6/ATPRB1/PBP1/ATLOX1/AtRLP32/AtBG2/ATPLC/AtMYB32/PTF1/NA/NSL1/DMR6/5PTASE11/ZFP8/5PTASE2/AtMYB6/ATERF11/AtMYB28/JAZ5/TBL17/NA/ATNPR3/ATMYB29/AOC3/JAZ8/IAA18/RVE1/OCP3/ATL31/ABCG40/ATL2/SARD1/NA/NA/ABA3/NA/GES/DGD2/ATERF13/PR-5/CRK36/AtRPK1/ATWRKY51/ATEDS1/NA/ILL6/TCP5/NA/DORN1/ANK/NA",192
"GO:0010243","GO:0010243","response to organonitrogen compound","182/3294","443/20876",3.76177292132391e-38,1.30440065680878e-35,9.38675537145386e-36,"ATDI8/ATCAL4/PY/NA/ERD6/RCA/ATHSPRO2/NA/TCH4/AtRAV2/NA/NA/C2H2/NA/ATMAPK3/(AT)SRC2/ATSZF1/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/AtCCA1/XERICO/DREB2/NA/ATPD/ATRAB1A/ATERF-1/BT5/CML38/DIC2/CML24/ATERF6/ATWRKY40/SAUR6/NA/AR781/NA/MYB77/ACO4/NA/NA/BGLU26/ATERF-2/ARR7/NA/NA/NA/CPK28/NA/ATCPK32/NA/AtWRKY22/TET8/AtWRKY15/AtPUB23/ATWRKY18/NA/JAZ7/NA/ATMYB59/CYP81F2/NA/ANAC002/NA/ATSYP122/CYP71B15/ATXT1/ABI5/NA/NA/NA/AT-SYR1/NA/ATCMPG1/ZAT7/LURP1/NA/NA/NA/ATMYB73/NA/OPCL1/IBR1/CAD1/AtIQM1/AtSOT1/ATLOX4/AtMYB51/NIMIN-1/AtNUDT7/AtERF98/NA/CYP71A13/ACS6/NA/ARA8/AtIPCS2/RRTF1/NA/AtPUB22/AGK2/NodGS/RHA3B/ATWRKY53/NA/NA/TGA3/OBP2/NA/AtMYB41/NA/NA/AtPNC2/NA/NA/ATMLO12/IOS1/AZF2/NA/NA/NA/ATWRKY54/NA/NA/NA/NA/ADL1E/ATERF-5/AtHrd1B/AtCAF1a/NA/AtBG2/AT-RLK3/PUB25/NA/LYK4/NSL1/ATCCR2/DMR6/BIK1/ATSZF2/ATERF11/NA/JAZ5/NA/ATNPR3/AT-HSFB2A/CYP707A3/ATL31/ZAT11/NA/ABCG40/NA/ATL2/NA/ATPUB29/NA/SARD1/NA/NA/ATERF#011/AtCAF1b/NA/ATERF13/WAKL2/STOP2/NA/NA/PR-5/ATWRKY29/CRK36/NA/ATEDS1/ATCMPG2/ATERF15/NA/NA/ABCG37/NA",182
"GO:0010200","GO:0010200","response to chitin","176/3294","421/20876",4.15149795292419e-38,1.30440065680878e-35,9.38675537145386e-36,"ATCAL4/NA/ERD6/RCA/ATHSPRO2/NA/TCH4/AtRAV2/NA/NA/C2H2/NA/ATMAPK3/(AT)SRC2/ATSZF1/ATLFNR2/ATWRKY33/BETA/NA/AtPRX71/NA/XERICO/DREB2/NA/ATPD/ATRAB1A/ATERF-1/BT5/CML38/DIC2/CML24/ATERF6/ATWRKY40/SAUR6/NA/AR781/NA/MYB77/ACO4/NA/NA/BGLU26/ATERF-2/ARR7/NA/NA/NA/CPK28/NA/ATCPK32/NA/AtWRKY22/TET8/AtWRKY15/AtPUB23/ATWRKY18/NA/JAZ7/NA/ATMYB59/CYP81F2/NA/ANAC002/NA/ATSYP122/CYP71B15/ATXT1/ABI5/NA/NA/NA/AT-SYR1/NA/ATCMPG1/ZAT7/LURP1/NA/NA/NA/ATMYB73/NA/OPCL1/CAD1/AtIQM1/AtSOT1/ATLOX4/AtMYB51/NIMIN-1/AtNUDT7/AtERF98/NA/CYP71A13/ACS6/NA/ARA8/AtIPCS2/RRTF1/NA/AtPUB22/AGK2/NodGS/RHA3B/ATWRKY53/NA/NA/TGA3/OBP2/NA/AtMYB41/NA/NA/AtPNC2/NA/NA/ATMLO12/IOS1/AZF2/NA/NA/NA/ATWRKY54/NA/NA/NA/NA/ADL1E/ATERF-5/AtCAF1a/NA/AtBG2/AT-RLK3/PUB25/NA/LYK4/NSL1/ATCCR2/DMR6/BIK1/ATSZF2/ATERF11/NA/JAZ5/NA/ATNPR3/AT-HSFB2A/CYP707A3/ATL31/ZAT11/NA/ABCG40/NA/ATL2/NA/ATPUB29/NA/SARD1/NA/NA/ATERF#011/AtCAF1b/NA/ATERF13/WAKL2/STOP2/NA/NA/PR-5/ATWRKY29/CRK36/NA/ATEDS1/ATCMPG2/ATERF15/NA/NA/NA",176
"GO:0009611","GO:0009611","response to wounding","140/3294","335/20876",1.70916428705919e-30,4.47516182494999e-28,3.22042534087995e-28,"LEA14/NA/ATVSP2/CORI3/ABI1/ATCAL4/PLAT1/ACO2/ATSEN1/AFP1/ATGGH2/ANAC072/KCS2/ADC2/ATLOX2/HAI1/ATOEP16-1/ATBT2/GBF3/TCH4/BCAT4/ATCAD5/JAZ6/ECT8/ATCHS/NA/ANS/ACX1/AtBBD2/ATMAPK3/ATBT4/(AT)SRC2/ATSZF1/JAZ9/RAP2.6/NA/NA/CPH/5[beta]-StR/ANAC019/NA/AtMYB74/ATCYS1/CML38/JAZ12/NA/DIC2/CML24/AXR2/NA/ATWRKY40/NA/ATRNS1/NA/AR781/NA/NA/NA/ADT5/NA/ATCPK32/NA/ATOPR1/ATPAL1/TET8/GT72B1/ATMDAR3/CYP79B3/NA/JAZ7/NA/ATM4/ANAC002/ABCG11/ATRBOHD/SS2/atnudt8/NA/AT-SYR1/ABCC4/NA/BASS5/ATPHO1/OPCL1/SEP2/ATLOX4/ATBCB/AtNUDT7/ACS6/GATL2/ATPAL3/TAT/ABCG29/anac081/JAZ2/OBP2/NA/ATMYB3/ATMYB2/NA/NA/AtHNL/AtPNC2/GGT1/ATTPS03/JAS1/AZF2/NA/NA/CYP94C1/ATST2A/ORA59/AtCAF1a/ATLOX1/AT-RLK3/NA/5PTASE2/UCC2/CYP74B2/JAZ5/TBL17/AAS/ATMYB29/AOC3/JAZ8/4CL2/F-ATMBP/ATL31/ATL2/NA/ATERF#011/GES/FAR5/NA/AtRPK1/NA/ILL6/AtTYDC/NA/PSY1R",140
"GO:0009751","GO:0009751","response to salicylic acid","171/3294","473/20876",5.75544465671589e-28,1.29168622224295e-25,9.29525949069604e-26,"COR15/AtCLO3/ABI1/NA/AFP1/AZI1/ADC2/RCA/AtSWEET15/EARLI1/ATBT2/ATHSPRO2/BT1/CIR1/ATMYBL2/BBX14/DIR1/AHB1/ASUS1/ACX1/NA/ABF3/ATMAPK3/ATBT4/DALL3/FTM1/ATLFNR2/RAP2.6/ATWRKY33/BETA/LBD41/AtPRX71/NA/ANAC019/AtCCA1/AtWAK1/AtTCP11/ATPD/ATPGIP2/NA/BT5/ATGRP-3/ATBI-1/DREB26/ATWRKY40/BLH1/AR781/MYB77/ACO4/LHY/NA/NA/NA/BGLU26/NA/BBX22/NA/ATCPK32/CPL3/ATOPR1/AtBRN1/AtPUB23/ATWRKY18/LCL5/ATLTL1/ATMYB59/ATSYP122/NA/CYP71B15/AtMYB112/LCL1/AtPDC1/ATSUS4/NA/NA/AT-SYR1/ATMYB30/RGA/LURP1/ATMYB73/NA/NA/ATMYB94/AtPIF4/CAD1/AtIQM1/Rap2.6L/AtSOT1/ATMYB96/AtMYB60/AtMYB51/NIMIN-1/AtNUDT7/NA/CYP71A13/NA/ATTRP2/SIB1/ATMYB13/ARA8/ARCK1/AIF1/NA/ATWRKY53/TGA3/anac081/JAZ2/OBP2/ATMYB3/ATMYB2/AtRLP33/AtRLP19/ACD6/NA/AtPNC2/GGT1/NF-YA4/ATCBL2/RHF1A/ATMYB7/ATWRKY54/AS1/NA/NA/RLK1/ADL1E/ATPRB1/AtRLP32/AtBG2/ATPLC/AtMYB32/NSL1/DMR6/BIK1/ZFP8/AtMYB6/ATSZF2/ATERF11/GASA5/AtMYB28/CRK9/NA/ATGSTF14/ATNPR3/ATMYB29/AOC3/RVE1/CRK19/ABCG40/ATL2/SARD1/NA/NA/ABA3/DGD2/ALD1/ATERF13/PR-5/NA/NA/CRK36/NA/NA/AtRPK1/ATEDS1/TCP5/AtVPS15/NA/ANK/NA/UGT1",171
"GO:0006972","GO:0006972","hyperosmotic response","109/3294","250/20876",7.6299262391083e-26,1.49832676520489e-23,1.07822905010557e-23,"COR15/NA/COR78/ATP5CS/ATVSP2/AtCLO3/CORI3/LTP3/COR413-TM1/AHG3/ABI1/NA/ATHVA22D/AtCOR47/ATHB-7/RD21/GAMMA-TIP2/ACO2/AALP/AFP1/RD19/ANAC072/ATPIP1/ATGRP7/ADC2/HAI1/NA/ATGSR2/ASN2/LTP4/GBF3/ABI2/cICDH/PIP1;5/NA/ARATH;BSAS3;1/HMG/ATNCED3/AtPIP2;1/APS1/CBSX3/P5CS2/BBX24/ATCIPK6/ANAC019/RCI2A/SNRK2-2/AtMYB74/APA1/ATERF-1/SIR/ATCYS6/ATTIL/ATSK13/GAPC-2/mMDH1/GLYI7/ATCPK32/NA/ATHVA22E/ATMDAR3/JAZ7/UGT74E2/ATLTL1/ATM4/ANAC002/ATSYP122/ATHVA22A/AP40/ATCBF3/AT-SYR1/RGA/NA/ATSK21/PLD/NA/ATCP1/AT-HSP17.6A/ATHVA22C/ATIRT1/ATHVA22B/TAT/ATMBAC2/DELTA-OAT/JAZ2/ATMYB2/AERD2/AtPNC2/ANAC092/JAS1/AZF2/CYP94C1/ANAC091/NA/PBP1/NA/5PTASE2/ATCBL10/ATERF11/JAZ5/TBL17/ATL31/ABCG40/ABA3/ATERF#011/GES/NA/ATERF13/AtRPK1",109
"GO:0010167","GO:0010167","response to nitrate","92/3294","197/20876",1.18725321654668e-24,2.07241644799425e-22,1.49135667201302e-22,"AZI1/ATBT2/NA/AtHIR2/LTPG5/LBD38/AtRAV2/NA/AtPRX71/ATBCA4/AtNPF7.3/UGT72E1/NA/AHA2/AGP2/AtNPF6.3/NA/NA/NA/NA/BGLU26/NA/RHS13/NA/ATHNIR/AtATL15/MAP18/NA/CYP71B7/ATFLS5/NA/ACO5/NA/NA/NA/PME1/SS2/SAUR55/ATCIPK8/NA/ATPPC3/NA/AGP22/ASFT/ATPHO1/ATSERAT2;1/SEL1/MLP329/AtZIP2/GAD/NA/NA/ATSTP4/SLAH3/NA/NA/ATWRKY65/ATIRT1/ATGRXS13/NA/NA/ATSBT4.12/NA/NA/NA/SFP1/AtWRKY47/NA/MT1C/UCC2/ATKC1/ATTIP2;3/ATWRKY9/NA/NA/NA/NA/CRK19/BAT1/ZIP3/TRI/NA/NA/NA/NA/AtNIP5;1/NA/STOP2/WDL3/AKT1/CYP705A8/CYP87A2",92
"GO:0015706","GO:0015706","nitrate transport","94/3294","206/20876",3.10966206893865e-24,4.88527911030262e-22,3.51555480214748e-22,"AZI1/NA/AtHIR2/AtNPF2.13/LTPG5/LBD38/AtRAV2/NA/AtPRX71/ATBCA4/AtNPF7.3/UGT72E1/NA/AHA2/AtG3Pp4/AGP2/AtNPF6.3/NA/NA/NA/NA/BGLU26/NA/RHS13/NA/ATHNIR/AtATL15/MAP18/NA/CYP71B7/ATFLS5/NA/ACO5/NA/NA/NA/PME1/SS2/SAUR55/NA/ATPPC3/NA/AGP22/ASFT/ATPHO1/ATSERAT2;1/SEL1/MLP329/AtZIP2/GAD/NA/NA/ATSTP4/ATOCT3/SLAH3/NA/NA/ATWRKY65/ATIRT1/ATGRXS13/PHT4;5/NA/NA/ATSBT4.12/NA/NA/NA/SFP1/AtWRKY47/MT1C/UCC2/ATKC1/ATTIP2;3/ATWRKY9/NA/NA/NA/NA/CRK19/BAT1/ZIP3/TRI/NA/NA/NA/AtNIP5;1/NA/STOP2/WDL3/AtNPF2.7/AKT1/ATOCT6/CYP705A8/CYP87A2",94
