,ENTREZID,SYMBOL,TAIR
1,839580,ANAC001,AT1G01010
2,839580,NAC001,AT1G01010
3,839569,ARV1,AT1G01020
4,839321,NGA3,AT1G01030
5,839574,ASU1,AT1G01040
6,839574,ATDCL1,AT1G01040
7,839574,CAF,AT1G01040
8,839574,DCL1,AT1G01040
9,839574,EMB60,AT1G01040
10,839574,EMB76,AT1G01040
11,839574,SIN1,AT1G01040
12,839574,SUS1,AT1G01040
13,839579,AtPPa1,AT1G01050
14,839579,PPa1,AT1G01050
15,839341,LHY,AT1G01060
16,839341,LHY1,AT1G01060
17,839550,UMAMIT28,AT1G01070
18,839463,NA,AT1G01080
19,839429,PDH-E1,AT1G01090
20,839410,NA,AT1G01100
21,839394,IQD18,AT1G01110
22,839395,KCS1,AT1G01120
23,839359,NA,AT1G01130
24,839349,CIPK9,AT1G01140
25,839349,PKS6,AT1G01140
26,839349,SnRK3.12,AT1G01140
27,839294,NA,AT1G01150
28,839278,GIF2,AT1G01160
29,839263,NA,AT1G01170
30,839239,NA,AT1G01180
31,839233,CYP78A8,AT1G01190
32,839493,ATRAB-A3,AT1G01200
33,839493,ATRABA3,AT1G01200
34,839493,RABA3,AT1G01200
35,839481,NA,AT1G01210
36,839420,AtFKGP,AT1G01220
37,839420,FKGP,AT1G01220
38,839358,NA,AT1G01225
39,839331,NA,AT1G01230
40,839274,NA,AT1G01240
41,839322,NA,AT1G01250
42,839545,JAM2,AT1G01260
43,839470,CYP703,AT1G01280
44,839470,CYP703A2,AT1G01280
45,839445,CNX3,AT1G01290
46,839375,NA,AT1G01300
47,6240609,NA,AT1G01305
48,839333,NA,AT1G01310
49,839293,NA,AT1G01320
50,838832,ACBK1,AT1G01340
51,838832,ATCNGC10,AT1G01340
52,838832,CNGC10,AT1G01340
53,838964,NA,AT1G01350
54,6241268,NA,AT1G01355
55,838452,PYL9,AT1G01360
56,838452,RCAR1,AT1G01360
57,839104,CENH3,AT1G01370
58,839104,HTR12,AT1G01370
59,838096,ETC1,AT1G01380
60,837790,NA,AT1G01390
61,837049,NA,AT1G01400
62,837547,APUM22,AT1G01410
63,837547,PUM22,AT1G01410
64,837503,UGT72B3,AT1G01420
65,837247,TBL25,AT1G01430
66,837155,NA,AT1G01440
67,837060,NA,AT1G01450
68,6240388,NA,AT1G01453
69,839469,ATPIPK11,AT1G01460
70,839469,PIPK11,AT1G01460
71,837071,LEA14,AT1G01470
72,837071,LSR3,AT1G01470
73,837082,ACS2,AT1G01480
74,837082,AT-ACC2,AT1G01480
75,839440,NA,AT1G01490
76,839430,NA,AT1G01500
77,839401,AN,AT1G01510
78,839401,DOQ,AT1G01510
79,839337,ASG4,AT1G01520
80,837142,AGL28,AT1G01530
81,839533,NA,AT1G01540
82,839536,BPS1,AT1G01550
83,839523,ATMPK11,AT1G01560
84,839523,MPK11,AT1G01560
85,837183,NA,AT1G01570
86,839411,ATFRO2,AT1G01580
87,839411,FRD1,AT1G01580
88,839411,FRO2,AT1G01580
89,837194,ATFRO1,AT1G01590
90,837194,FRO1,AT1G01590
91,839347,CYP86A4,AT1G01600
92,839297,ATGPAT4,AT1G01610
93,839297,GPAT4,AT1G01610
94,839235,PIP1;3,AT1G01620
95,839235,PIP1C,AT1G01620
96,839235,TMP-B,AT1G01620
97,839231,NA,AT1G01630
98,839534,NA,AT1G01640
99,839499,ATSPPL4,AT1G01650
100,839499,SPPL4,AT1G01650
101,839461,NA,AT1G01660
102,839365,NA,AT1G01670
103,839251,ATPUB54,AT1G01680
104,839251,PUB54,AT1G01680
105,839243,ATPRD3,AT1G01690
106,839243,PRD3,AT1G01690
107,6241450,TRM33,AT1G01695
108,839250,ATROPGEF2,AT1G01700
109,839250,ROPGEF2,AT1G01700
110,839254,NA,AT1G01710
111,839265,ANAC002,AT1G01720
112,839265,ATAF1,AT1G01720
113,839271,NA,AT1G01725
114,839260,NA,AT1G01730
115,839253,BSK4,AT1G01740
116,839281,ADF11,AT1G01750
117,839252,AtTAD1,AT1G01760
118,839252,TAD1,AT1G01760
119,837323,NA,AT1G01770
120,839267,PLIM2b,AT1G01780
121,837332,ATKEA1,AT1G01790
122,837332,KEA1,AT1G01790
123,839259,NA,AT1G01800
124,839247,NA,AT1G01810
125,839257,PEX11C,AT1G01820
126,839264,NA,AT1G01830
127,839291,NA,AT1G01840
128,839283,PFC1,AT1G01860
129,837373,NA,AT1G01880
130,839318,ATSBT1.1,AT1G01900
131,839318,SBTI1.1,AT1G01900
132,839305,NA,AT1G01910
133,839313,NA,AT1G01920
134,839310,NA,AT1G01930
135,839309,NA,AT1G01940
136,839306,ARK2,AT1G01950
137,839306,AtKINUb,AT1G01950
138,839301,EDA10,AT1G01960
139,839299,NA,AT1G01970
140,839296,NA,AT1G01980
141,837456,NA,AT1G01990
142,839289,GAE2,AT1G02000
143,839288,SEC1A,AT1G02010
144,837477,NA,AT1G02020
145,839285,NA,AT1G02030
146,839284,NA,AT1G02040
147,839280,LAP6,AT1G02050
148,839280,PSKA,AT1G02050
149,839279,NA,AT1G02060
150,839275,SPL8,AT1G02065
151,839270,NA,AT1G02070
152,839244,NA,AT1G02080
153,839241,ATCSN7,AT1G02090
154,839241,COP15,AT1G02090
155,839241,CSN7,AT1G02090
156,839241,FUS5,AT1G02090
157,837541,SBI1,AT1G02100
158,839234,NA,AT1G02110
159,839232,VAD1,AT1G02120
160,837023,ARA-5,AT1G02130
161,837023,ARA5,AT1G02130
162,837023,ATRAB1B,AT1G02130
163,837023,ATRABD2A,AT1G02130
164,837023,RA-5,AT1G02130
165,837023,RABD2A,AT1G02130
166,837560,HAP1,AT1G02140
167,837560,MAGO,AT1G02140
168,837560,MEE63,AT1G02140
169,5007658,ALG12,AT1G02145
170,5007658,EBS4,AT1G02145
171,839577,NA,AT1G02150
172,839554,NA,AT1G02160
173,839561,ATMC1,AT1G02170
174,839561,AtMCP1b,AT1G02170
175,839561,ATMCPB1,AT1G02170
176,839561,LOL3,AT1G02170
177,839561,MC1,AT1G02170
178,839561,MCP1b,AT1G02170
179,839543,NA,AT1G02180
180,839541,NA,AT1G02190
181,837602,CER1,AT1G02205
182,837602,CER22,AT1G02205
183,839482,NA,AT1G02210
184,839476,ANAC003,AT1G02220
185,839476,NAC003,AT1G02220
186,837630,ANAC004,AT1G02230
187,837630,NAC004,AT1G02230
188,839390,aNAc005,AT1G02250
189,839390,NAC005,AT1G02250
190,839344,NA,AT1G02260
191,839381,NA,AT1G02270
192,839248,ATTOC33,AT1G02280
193,839248,PPI1,AT1G02280
194,839248,TOC33,AT1G02280
195,839255,NA,AT1G02290
196,839576,NA,AT1G02300
197,839538,NA,AT1G02305
198,839444,MAN1,AT1G02310
199,839425,NA,AT1G02320
200,839367,NA,AT1G02330
201,3766642,GL22,AT1G02335
202,3766642,PDGLP2,AT1G02335
203,839300,FBI1,AT1G02340
204,839300,HFR1,AT1G02340
205,839300,REP1,AT1G02340
206,839300,RSF1,AT1G02340
207,839490,NA,AT1G02350
208,837724,NA,AT1G02360
209,837735,NA,AT1G02370
210,837745,NA,AT1G02380
211,839558,ATGPAT2,AT1G02390
212,839558,GPAT2,AT1G02390
213,839508,ATGA2OX4,AT1G02400
214,839508,ATGA2OX6,AT1G02400
215,839508,DTA1,AT1G02400
216,839508,GA2OX6,AT1G02400
217,837769,NA,AT1G02405
218,839364,NA,AT1G02410
219,837779,NA,AT1G02420
220,839242,ARFD1B,AT1G02430
221,839242,ATARFD1B,AT1G02430
222,839230,ARFD1A,AT1G02440
223,839230,ATARFD1A,AT1G02440
224,837800,NIMIN-1,AT1G02450
225,837800,NIMIN1,AT1G02450
226,839443,NA,AT1G02460
227,837812,NA,AT1G02470
228,839236,NA,AT1G02475
229,28716023,NA,AT1G02490
230,839501,AtSAM1,AT1G02500
231,839501,MAT1,AT1G02500
232,839501,METK1,AT1G02500
233,839501,SAM-1,AT1G02500
234,839501,SAM1,AT1G02500
235,837846,ATKCO4,AT1G02510
236,837846,ATTPK4,AT1G02510
237,837846,KCO4,AT1G02510
238,837846,TPK4,AT1G02510
239,839353,ABCB11,AT1G02520
240,839353,MDR8,AT1G02520
241,839353,PGP11,AT1G02520
242,839282,ABCB12,AT1G02530
243,839282,PGP12,AT1G02530
244,839516,NA,AT1G02540
245,837879,NA,AT1G02550
246,839433,CLPP5,AT1G02560
247,839433,NCLPP1,AT1G02560
248,839433,NCLPP5,AT1G02560
249,839485,NA,AT1G02570
250,10723100,NA,AT1G02575
251,839422,EMB173,AT1G02580
252,839422,FIS1,AT1G02580
253,839422,MEA,AT1G02580
254,839422,SDG5,AT1G02580
255,839372,NA,AT1G02590
256,837915,NA,AT1G02610
257,839269,NA,AT1G02620
258,839240,NA,AT1G02630
259,837940,ATBXL2,AT1G02640
260,837940,BXL2,AT1G02640
261,837951,NA,AT1G02650
262,839544,NA,AT1G02660
263,839532,NA,AT1G02670
264,837962,TAF13,AT1G02680
265,839517,IMPA-6,AT1G02690
266,839492,NA,AT1G02700
267,839483,NA,AT1G02710
268,839475,AtGATL5,AT1G02720
269,839475,GATL5,AT1G02720
270,839467,ATCSLD5,AT1G02730
271,839467,CSLD5,AT1G02730
272,839467,SOS6,AT1G02730
273,839455,NA,AT1G02740
274,839432,NA,AT1G02750
275,839421,NA,AT1G02770
276,839407,emb2386,AT1G02780
277,839391,PGA4,AT1G02790
278,839385,ATCEL2,AT1G02800
279,839385,CEL2,AT1G02800
280,838078,NA,AT1G02810
281,839360,NA,AT1G02813
282,839308,NA,AT1G02816
283,839304,AtLEA3,AT1G02820
284,839304,LEA3,AT1G02820
285,838098,NA,AT1G02830
